name,iso,region,N,sigma,mean_ipr,extended_fraction
Citi Bike NYC,US,north_america,3039,341.6106243188151,0.08478459789731763,0.0042777229351760445
Divvy Chicago,US,north_america,2001,711.8765279305063,0.03863306391142572,0.0074962518740629685
Capital DC,US,north_america,776,855.1039538278472,0.0751320818120426,0.014175257731958763
Bay Wheels SF,US,north_america,560,694.831727293431,0.043474599562033006,0.017857142857142856
Bluebikes Boston,US,north_america,497,806.813723534061,0.04369478614552542,0.07847082494969819
Biketown Portland,US,north_america,274,877.3701257866035,0.05082180859586202,0.12408759124087591
BIXI Montréal,CA,north_america,1057,609.6080269450717,0.05242322976725615,0.01608325449385052
Bike Share Toronto,CA,north_america,1033,649.6435126824305,0.04625001197163454,0.01936108422071636
Vélib Paris,FR,europe,1511,478.85333582381156,0.02733891341929201,0.05493050959629384
Vélo'v Lyon,FR,europe,462,528.0982101526461,0.04660563154937331,0.19913419913419914
VéLÔ Toulouse,FR,europe,448,651.1662423685069,0.030870871155641876,0.2767857142857143
Le VélO Bordeaux,FR,europe,228,696.556583668927,0.06061392635489816,0.2675438596491228
Le Vélo Marseille,FR,europe,228,692.1778874109143,0.04872322813987881,0.38596491228070173
Santander London,GB,europe,798,483.14337358772883,0.019893982143932308,0.06641604010025062
Beryl Bournemouth,GB,europe,400,762.6177772242611,0.07233621010157268,0.0425
Beryl Manchester,GB,europe,286,465.6096684734308,0.04900298841662261,0.15384615384615385
Nextbike Berlin,DE,europe,1456,495.91648044766794,0.06025113554875929,0.006181318681318681
Swabi Augsburg,DE,europe,527,444.639513037405,0.054114708044511774,0.028462998102466792
Nextbike Praha,CZ,europe,1489,247.01357605005143,0.08916249277739852,0.004029550033579583
BiciMAD Madrid,ES,europe,638,761.8087811317098,0.02970667997319118,0.13793103448275862
Bicing Barcelona,ES,europe,545,443.45811534666194,0.02110622211000756,0.20733944954128442
Valenbisi València,ES,europe,279,514.7591707547235,0.02731918494242203,0.6272401433691757
BikeMi Milan,IT,europe,318,542.1924194160506,0.028833836643717834,0.4528301886792453
Villo Bruxelles,BE,europe,348,733.7752505954709,0.022060978461131687,0.46264367816091956
Velo Antwerpen,BE,europe,321,615.6566140322722,0.03144062714737613,0.3177570093457944
Metrorower,PL,europe,944,1232.74389760242,0.07465244025085392,0.009533898305084746
Mevo Gdańsk,PL,europe,821,788.8282038463094,0.09209998232066982,0.0036540803897685747
Velospot CH,CH,europe,1634,635.8190256750954,0.101739846085548,0.0012239902080783353
Ecobici Ciudad de Mexico,MX,latam,677,460.71629409766973,0.017920859901844104,0.18906942392909898
Ecobici Buenos Aires,AR,latam,392,877.5450507716423,0.02264621458020435,0.4719387755102041
Bike Itaú Rio,BR,latam,406,527.0910316633164,0.061980476575253636,0.04187192118226601
