family,param,N_actual,mean_ipr_topK,r2_mean,r2_std
ER,0.02,500,0.006141127924144901,0.01907412531081401,0.01063974489139688
ER,0.05,500,0.0054605677351174595,0.017743991269747378,0.008647183454742219
ER,0.1,500,0.005673707897190228,0.01749990074226414,0.00733643470471807
ER,0.2,500,0.005403655933162187,0.01902123072141357,0.008778803856436397
RGG,3.0,495,0.00843204126871223,0.01879644946500522,0.009050295391806854
RGG,5.0,500,0.0057919972561324695,0.013475737125108507,0.005704630802230018
RGG,8.0,500,0.005080054176917488,0.0162371673986871,0.006735971609718985
RGG,12.0,500,0.004546199675527784,0.018967430992701692,0.010476669452806443
SBM,0.1,500,0.005583392280777886,0.018560707196761818,0.00844941962288189
SBM,0.3,500,0.0052758694335158325,0.016828695885131684,0.008302049491927739
SBM,0.6,500,0.005311932580237376,0.016320189873310326,0.0071129266910933235
SBM,1.0,500,0.005256783893785847,0.015690586173267514,0.007095221277370842
Gauss,5.0,500,0.05370809696190867,0.01814442483114,0.008987627643759405
Mix,5.0,266,0.013024526952981863,0.036477334033941634,0.017509102181253088
Star,,500,0.4069724419447411,0.018126220099967005,0.008797500203934352
