density,N,mean_ipr,std_ipr,n_reps
disk,100,0.07991599980043428,0.012309173445534586,6
disk,200,0.058760361286596875,0.005860105722416616,6
disk,400,0.04716627825595176,0.0029992089780982696,6
disk,800,0.038672951533417925,0.002389640395045114,6
disk,1600,0.031811186691807866,0.000846715600299498,6
gaussian,100,0.09613426929871015,0.01434698153740609,6
gaussian,200,0.07876170952820331,0.008336264190693986,6
gaussian,400,0.06666682412333907,0.008104925544023993,6
gaussian,800,0.06061496706805527,0.004984027419112208,6
gaussian,1600,0.056304805864555794,0.005698784309653873,6
mixture-2,100,0.12026140169663015,0.011265392683584938,6
mixture-2,200,0.0926799929190331,0.011857806014801932,6
mixture-2,400,0.076933658303297,0.008853694221983559,6
mixture-2,800,0.06675589246243521,0.00415880069343413,6
mixture-2,1600,0.06300620137969132,0.004130501096494518,6
