city,z_kde,D,N,r2_aug,r2_base,gain,r2_aug_random,gain_random,r2_drop,gain_drop
d10_Paris,-8.216757810397606,1.3804181946738776,1361,-0.13682437017971696,-0.1605845900028835,0.023760219823166517,0.4347978718160377,0.058771964849530046,0.5716222419957546,0.03501174502636353
d10_inurba-rouen,-1.0091155704432255,1.542359675864639,124,-0.5512929017877678,-0.3348904178037537,-0.21640248398401404,0.5053335177939374,0.02182864938778003,1.0566264195817052,0.23823113337179408
d10_levelo_inurba_marseille,-1.227833831432313,1.5953794723250134,228,0.04559627271640928,0.10078170028283574,-0.05518542756642647,0.4271537233740549,0.03123980528645051,0.3815574506576456,0.08642523285287698
d10_lyon,-1.8767363164863284,1.8144369435576382,462,-3.242139218959065,-3.074788300476447,-0.16735091848261704,0.4006922391397433,0.013030752211383232,3.6428314580988084,0.18038167069400027
d10_nantes,-3.1963068125432685,2.2957888004855955,123,-0.3212773873661355,-0.30667240107785304,-0.014604986288282476,0.23722169444117344,0.10495054130394603,0.5584990818073089,0.11955552759222851
d10_toulouse,-5.7618865359164335,1.761663509611304,448,-0.32768533662232996,-0.43570475125262687,0.1080194146302969,0.40428741084049563,0.053204002398367645,0.7319727474628256,-0.05481541223192926
d10_velo-tbm-bordeaux,-2.1172463290679917,3.3650517438032357,228,-0.5837473006036755,-0.739835732318042,0.15608843171436665,0.10254345747847557,0.03569151223537822,0.6862907580821511,-0.12039691947898842
d10_vilvolt_epinal,3.8399795679778768,2.2796224234586817,106,-22.319387243493658,-21.736194948391812,-0.5831922951018467,0.28583759358351835,-0.00928205817374024,22.605224837077177,0.5739102369281064
d14_montreal_bixi,-1.393289033172466,1.1187636169585986,717,-1.2886324204142867,-0.9468599071932161,-0.34177251322107055,0.6350762176002795,0.01122971411414383,1.9237086380145663,0.35300222733521436
d16_london_tfl,-12.747587995559863,2.2827152518966005,788,-0.12156418518739501,-0.09417535878907944,-0.02738882639831556,0.21647127965651003,0.04901292672695513,0.338035464843905,0.0764017531252707
d3_boston_bluebikes,-3.5359695428935165,1.0920720978920242,493,-0.803277076159185,-0.9404080517327268,0.13713097557354179,0.5411513003675169,0.07257355533021208,1.344428376526702,-0.06455742024332971
d3_chicago_divvy,-2.4065046415887537,0.8967027334190592,1337,-1.392562959465397,-1.824599985809293,0.43203702634389585,0.5573600572975079,0.09564337103530053,1.949923016762905,-0.33639365530859533
d3_dc_capitalbikeshare,2.0499362775869643,0.7931013485145498,765,-3.621417650613691,-2.8875935797983034,-0.7338240708153874,0.5613048744324824,0.0175541252259937,4.182722525046174,0.751378196041381
d3_sf_baywheels,-3.1464352207071085,1.093297986562468,552,-5.62270532860213,-6.141006722857879,0.5183013942557493,0.5291534653510783,0.12472694163503775,6.151858793953209,-0.39357445262071156
