city,z_kde,D,N,r2_block,gain_block,eig_energy,r2_random,gain_random,r2_gap,gain_gap
d10_Paris,-8.216757810397606,1.3804181946738776,1361,-0.46004568797484724,0.06948217336284412,0.007134113931071423,0.40590766837988623,0.060390801550092854,0.8659533563547335,-0.00909137181275127
d10_inurba-rouen,-1.0091155704432255,1.542359675864639,124,0.19043664536533245,0.05380182513092372,0.10622934356170455,0.4671245774385217,0.046393206553838086,0.27668793207318926,-0.007408618577085635
d10_levelo_inurba_marseille,-1.227833831432313,1.5953794723250134,228,-0.1315502451634314,-0.0543639726110148,0.0417579323886672,0.47093328790781624,0.022069074200891214,0.6024835330712477,0.07643304681190602
d10_lyon,-1.8767363164863284,1.8144369435576382,462,0.01594676029978711,0.008837624095185148,0.016630817910966527,0.3948906064039388,0.014447134864893985,0.3789438461041517,0.0056095107697088364
d10_nantes,-3.1963068125432685,2.2957888004855955,123,-0.05716552404466276,0.08030526117567793,0.09463608421745802,0.07270412305228975,0.07257565499178291,0.1298696470969525,-0.007729606183895024
d10_toulouse,-5.7618865359164335,1.761663509611304,448,-0.02975201144836499,0.028170495727977873,0.023852185486027223,0.4254772914284194,0.051038620462430864,0.45522930287678437,0.02286812473445299
d10_velo-tbm-bordeaux,-2.1172463290679917,3.3650517438032357,228,-0.05530843107719837,0.0030584959616660377,0.04325191014172949,0.1057079712390017,0.037618408898335454,0.16101640231620007,0.034559912936669414
d10_vilvolt_epinal,3.8399795679778768,2.2796224234586817,106,-0.08429715115480574,-0.021505715084178128,0.06536397030918831,0.5658665776549944,0.012787083933071744,0.6501637288098001,0.034292799017249874
d14_montreal_bixi,-1.393289033172466,1.1187636169585986,717,-1.500348086712013,0.0343484948158535,0.01448076447836139,0.633035057067205,0.008183920046799176,2.133383143779218,-0.026164574769054327
d16_london_tfl,-12.747587995559863,2.2827152518966005,788,-0.09436083126191884,-0.04257612128504422,0.012895713729614334,0.2293488403156358,0.04534115447602003,0.32370967157755465,0.08791727576106426
d3_boston_bluebikes,-3.5359695428935165,1.0920720978920242,493,-0.5635537553444596,0.08928346835811062,0.01686385706371353,0.5168861227124585,0.07149803488471727,1.080439878056918,-0.01778543347339334
d3_chicago_divvy,-2.4065046415887537,0.8967027334190592,1337,-1.4144634063228672,0.5124736657039964,0.008952071967618918,0.4981647655496366,0.11234360078436141,1.9126281718725038,-0.40013006491963504
d3_dc_capitalbikeshare,2.0499362775869643,0.7931013485145498,765,-2.805113933621454,-0.29566688802448204,0.02447939398156367,0.5313875435747377,0.021911749513162083,3.3365014771961916,0.31757863753764415
d3_sf_baywheels,-3.1464352207071085,1.093297986562468,552,-5.926353969873215,1.1013314757953256,0.022932408188727348,0.5102545544818804,0.14813708894444688,6.436608524355096,-0.9531943868508788
